symptom_text,label
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Powdery white layer covering leaves.,Tomato_Leaf_Mold
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Powdery white layer covering leaves.,Tomato_Leaf_Mold
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Potato leaves have no signs of infection.,Potato___healthy
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
"Wilting leaves, especially at night.",Tomato_Late_blight
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
"Wilting leaves, especially at night.",Tomato_Late_blight
Small dark spots with concentric rings.,Tomato_Early_blight
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Powdery white layer covering leaves.,Tomato_Leaf_Mold
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
Irregular brown patches and decay.,Tomato__Target_Spot
"Wilting leaves, especially at night.",Tomato_Late_blight
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
