description,crop,status,disease,recommended_pesticide,image_path
Visual check indicates: notable Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sporadic New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\45fefdc6-a9a7-4955-8066-146efe1c8a1c___GHLB_PS Leaf 27 Day 9.jpg
According to the grower: severe New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\8fb5837a-daa2-49c9-8e6e-eeca83e1e764___GHLB_PS Leaf 26.1 Day 13.jpg
Agronomist notes: severe No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sporadic Infected areas emit a musty odor. sporadic Edges of lesions look water-soaked. sudden White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\d5f68aaa-5700-4957-b08c-dcab8be0d49e___GHLB_PS Leaf 1 Day 9.jpg
Farmer complains: rapid Stems remain firm and robust. slight Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible Leaves are lush green with no visible spots. notable Plants show no signs of stress or pests. extensive Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: sudden Stems remain firm and robust. moderate Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: visible Stems show brown streaks near soil level. severe Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\b2a9abfe-731d-4143-a534-158a4aea4dd1___GHLB_PS Leaf 1.5 Day 13.jpg
Farmer reports: severe Stems remain firm and robust. rapid Plant stands tall and vigorous.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible No signs of wilting or discoloration. visible Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: slight Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\1159051e-1278-4b35-929c-e26b963d048f___GHLB_PS Leaf 8.1 Day 16.jpg
Farmer complains: moderate Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\fe20bf11-9be6-480c-8c99-b7b391ac9653___GHLB_PS Leaf 44.2 Day 18.jpg
Field observation shows: extensive Large brown blotches develop rapidly on leaves. visible Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\09cdb8a4-0c20-4acd-b4c8-709fad7010fd___GHLB_PS Leaf 37 Day 16.jpg
Farmer complains: clear Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: sporadic Fruits develop firm dark lesions with greasy texture. notable Infected areas emit a musty odor. severe Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\bb2fca37-44c5-400e-b81e-b402549d45c1___GHLB_PS Leaf 43.3 Day 18.jpg
Farmer reports: severe White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\c9258e44-7f45-4baf-8140-69d4857c56ee___GHLB_PS Leaf 45 Day 18.jpg
According to the grower: sudden Stems are firm and unblemished. rapid Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sudden Plants show no signs of stress or pests. severe Growth appears vigorous and steady. sporadic Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
clear Plants maintain strong upright growth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: clear Fruit clusters are well-formed. rapid Plant stands tall and vigorous. sporadic Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\80fc88e3-e4b6-49be-9f10-a364dbf88767___GHLB2ES Leaf 137.jpg
According to the grower: extensive Stems turn brown and brittle.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\97968e5a-b1d0-428c-842a-f77308212339___GHLB_PS Leaf 46.2 Day 18.jpg
Farmer reports: extensive Fruit set appears normal and healthy. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: clear Stems show brown streaks near soil level. clear Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\1f38a263-cfb5-47fe-8c0e-f8d62141f922___GHLB_PS leaf 28 Day 12 .jpg
Farmer reports: visible Leaves become limp and collapse suddenly. rapid Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\037c55c7-6e33-4b8d-af05-4d555f4e658e___GHLB_PS Leaf 42.1 Day 18.jpg
visible Plant canopy is full and evenly spaced. clear Growth appears vigorous and balanced. rapid Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: notable No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: notable New leaves become infected almost overnight. clear Leaves become limp and collapse suddenly. notable Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\5de5dfbd-cd1f-4e5f-a263-256abb97b05b___GHLB_PS Leaf 8.1 Day 13.jpg
Visual check indicates: sporadic White mold may appear on leaf undersides. notable Stems turn brown and brittle. sudden Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\12125c80-42e3-4970-bb92-524262c337fa___GHLB_PS Leaf 8.1 Day 7.jpg
slight Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sudden Fruit set appears normal and healthy. clear Overall appearance is robust and lush.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe No unusual odor detected in the field.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: severe Plant canopy is full and evenly spaced. notable Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: visible No spots or discoloration on leaves. visible Plants appear free from any pests or diseases. sporadic Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer complains: rapid Infected tubers show dark, firm patches beneath the skin. visible White fungal growth may appear under humid conditions. moderate Edges of lesions appear water-soaked and greasy.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\af0ded43-0d73-4d40-bd97-2597806aa707___GHLB_PS Leaf 37 Day 13.jpg
Field observation shows: severe No visible blemishes on leaves or stems. visible Stems appear firm and upright. sudden Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: sporadic Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: severe New leaves become infected almost overnight. slight Large brown blotches develop rapidly on leaves. notable Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\fb5dc387-cb1d-49bb-b81e-58d60705a2fd___GHLB_PS Leaf 1.3 Day 16.jpg
Farmer reports: clear Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: slight Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"clear Leaves collapse suddenly without warning. severe Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\127f2df5-4da2-40ef-ba65-91a732f2498e___GHLB_PS Leaf 40.1 Day 18.jpg
Field observation shows: severe Leaf edges remain intact and smooth. notable Plants maintain strong upright growth. clear No unusual odor detected in the field.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
moderate No signs of wilting or discoloration. visible Growth appears vigorous and steady. rapid Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\de2e16e8-b372-4d2e-ab3b-30b21c30faa7___GHLB_PS Leaf 1.5 Day 18.jpg
Visual check indicates: sudden Stems appear firm and upright. clear No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: slight Stems show brown streaks near soil level. severe Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\15dc06c9-506a-470b-a015-14dcb585389f___GHLB_PS Leaf 15 Day 8.jpg
Agronomist notes: severe Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\10acd4c3-b1b8-4fc7-848a-c9af30086e78___GHLB_PS Leaf 28.2 Day 13.jpg
Inspection reveals: notable Edges of lesions look water-soaked. rapid Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\5de5dfbd-cd1f-4e5f-a263-256abb97b05b___GHLB_PS Leaf 8.1 Day 13.jpg
Visual check indicates: sporadic White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\d5f68aaa-5700-4957-b08c-dcab8be0d49e___GHLB_PS Leaf 1 Day 9.jpg
rapid Fruits develop evenly with no blemishes. sudden Plant stands tall and vigorous. sudden No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Agronomist notes: moderate Infected tubers show dark, firm patches beneath the skin. sporadic New leaves become infected almost overnight. notable Leaves become limp and collapse suddenly.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\10acd4c3-b1b8-4fc7-848a-c9af30086e78___GHLB_PS Leaf 28.2 Day 13.jpg
According to the grower: sporadic Overall growth is steady and balanced. visible Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"According to the grower: slight Edges of lesions appear water-soaked and greasy. sudden Lesions spread quickly under cool, wet weather. sudden New leaves become infected almost overnight.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\ac205c4a-58c5-430f-8b4c-f853652df749___GHLB_PS Leaf 30 Day 13.jpg
"According to the grower: sudden Cool, moist weather promotes rapid spread. extensive Fruit rot occurs quickly after infection. visible Fruits develop firm dark lesions with greasy texture.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\6b7f4762-88d6-4e85-8fad-57ca4083ec89___GHLB_PS Leaf 8.1 Day 9.jpg
Field observation shows: moderate Plant stands tall and vigorous. rapid Fruits develop evenly with no blemishes. sudden No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: visible Stems appear firm and upright. visible Fruit set appears normal and healthy. sporadic Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: clear Large irregular brown patches appear on leaves. extensive Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\31eb8659-67c1-4cc6-b0b9-1d5ffe9eed0b___GHLB_PS Leaf 2.3 Day 18.jpg
According to the grower: extensive Leaves look vibrant green with a smooth texture. extensive No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: notable Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\bb1cfbc3-b8eb-4a56-9313-86cffbea4524___GHLB_PS Leaf 30.1 Day 13.jpg
