disease,clean_description,recommended_pesticide
healthy,visual check indicates notable leaf edge remain intact smooth,No pesticide needed
Bacterial_spot,farmer report severe leaf edge turn brown crack,Biological predators
Late_blight,sporadic new leaf become infected almost overnight,Sulfur spray
Target_Spot,field observation show moderate spot develop yellow halo expand rapid growth appears stunted patchy foliage sudden spot prominent humid condition,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,farmer complains notable leaf turn bronze curl clear mite thrive hot dry condition,Sulfur spray
Late_blight,according grower severe new leaf become infected almost overnight,Sulfur spray
healthy,agronomist note severe visible blemish leaf stem,No pesticide needed
Early_blight,farmer complains extensive lesion enlarge warm humid weather slight dark spot sometimes appear stem sporadic lower leaf drop prematurely stress,Neem oil
Late_blight,sporadic infected area emit musty odor sporadic edge lesion look watersoaked sudden white mold may appear leaf underside,Neem oil
Septoria_leaf_spot,inspection reveals sudden tiny dark speck appear pale center,Neem oil
healthy,farmer complains rapid stem remain firm robust slight flower appear healthy plentiful,No pesticide needed
Early_blight,field observation show sporadic leaf edge appear scorched curled visible plant vigor decrease time notable dark concentric ring form lower leaf,Horticultural oil
healthy,inspection reveals visible leaf lush green visible spot notable plant show sign stress pest extensive growth appears vigorous steady,No pesticide needed
Leaf_Mold,farmer complains rapid lesion merge large yellow area notable disease thrives high humidity poor airflow,Sulfur spray
Early_blight,according grower visible small dark spot develop concentric ring,Neem oil
healthy,visual check indicates sudden stem remain firm robust moderate overall growth steady balanced,No pesticide needed
Septoria_leaf_spot,farmer complains moderate growth appears patchy across field notable yellow halo surround small lesion,Neem oil
Spider_mites_Two_spotted_spider_mite,rapid infestation begin lower leaf,Sulfur spray
Late_blight,visual check indicates visible stem show brown streak near soil level severe blight odor noticeable severe infection,Sulfur spray
Early_blight,visible leaf yellow around brown lesion rapid brown patch coalesce larger necrotic area,Neem oil
Septoria_leaf_spot,farmer complains slight spot increase rapidly wet condition slight stem remain largely unaffected,Neem oil
Early_blight,farmer report notable overall growth appears stunted sporadic older leaf show symptom first visible stem may show sunken brown streak,Horticultural oil
