symptom_text,label
Small dark dots with concentric rings.,Tomato_Early_blight
Delicate watery patches that quickly spread on potato foliage,Potato___Late_blight
Leaf patches starting near margins expanding inward. could be serious,Tomato_Septoria_leaf_spot
"Probably leaves without damage. shiny, silky green",Pepper__bell___healthy
Small dark spots with faint yellow halos on potato leaves. worth treating soon,Potato___Early_blight
Light green or mottled patches on young foliage,Tomato__Tomato_mosaic_virus
"Clearly wilting leaves, especially at night. getting worse",Tomato_Late_blight
Clearly pale yellow halos on potato foliage small dark spots with,Potato___Early_blight
Webbing under leaves. tiny insects and worth treating soon,Tomato_Spider_mites_Two_spotted_spider_mite
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Looks like leaf blades turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
We noticed faint yellow halos on potato leaf blades small dark spots with could be serious,Potato___Early_blight
"Especially at night. wilting leaves,",Tomato_Late_blight
"Soft, watery spots that quickly spread on potato leaves. could be serious",Potato___Late_blight
Definitely light green or mottled patches on young leaves. could be serious,Tomato__Tomato_mosaic_virus
Small dark dots with yellow halos on potato leaves.,Potato___Early_blight
Appears as leaves turning faint yellow and twisting needs urgent care,Tomato__Tomato_YellowLeaf__Curl_Virus
Probably powdery chalky layer covering leaf blades could be serious,Tomato_Leaf_Mold
"Plant shows soft, watery spots that quickly spread on potato foliage",Potato___Late_blight
"Clearly shiny, smooth green leaves without damage. likely spreading fast",Pepper__bell___healthy
Looks like leaf patches starting near margins expanding inward.,Tomato_Septoria_leaf_spot
"Clearly leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Minute insects and webbing under foliage,Tomato_Spider_mites_Two_spotted_spider_mite
"Leaves without damage. shiny, smooth green likely spreading fast",Pepper__bell___healthy
Clearly small dark spots with concentric rings.,Tomato_Early_blight
"Leaf patches starting near edges, expanding inward. likely spreading fast",Tomato_Septoria_leaf_spot
"Could be leaves without damage. shiny, smooth green worth treating soon",Pepper__bell___healthy
"Definitely shiny, smooth green leaves without damage.",Pepper__bell___healthy
Definitely small dark spots with concentric rings. could be serious,Tomato_Early_blight
"Shiny, smooth green leaves without damage. likely spreading fast",Pepper__bell___healthy
Irregular brown patches and decay. likely spreading fast,Tomato__Target_Spot
Looks like tiny insects and webbing under foliage,Tomato_Spider_mites_Two_spotted_spider_mite
"Looks like shiny, smooth green leaves without damage. getting worse",Pepper__bell___healthy
Seems to have tiny insects and webbing under foliage could be serious,Tomato_Spider_mites_Two_spotted_spider_mite
"Could be leaf marks starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Small dark spots with concentric rings.,Tomato_Early_blight
Potato leaves have no signs of infection. worth treating soon,Potato___healthy
Small dark marks with concentric rings. likely spreading fast,Tomato_Early_blight
"Shiny, smooth green foliage without damage. getting worse",Pepper__bell___healthy
Generally healthy-looking leaf blades no visible signs. needs urgent care,Tomato_healthy
Powdery white layer covering leaves. could be serious,Tomato_Leaf_Mold
Plant shows leaf marks starting near sides expanding inward. could be serious,Tomato_Septoria_leaf_spot
Clearly with yellow halo. tan circular lesions,Tomato_Bacterial_spot
