symptom_text,label
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Powdery white layer covering leaves.,Tomato_Leaf_Mold
Potato leaves have no signs of infection.,Potato___healthy
"Wilting leaves, especially at night.",Tomato_Late_blight
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Potato leaves have no signs of infection.,Potato___healthy
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
Potato leaves have no signs of infection.,Potato___healthy
Irregular brown patches and decay.,Tomato__Target_Spot
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Potato leaves have no signs of infection.,Potato___healthy
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
Potato leaves have no signs of infection.,Potato___healthy
Small dark spots with concentric rings.,Tomato_Early_blight
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Potato leaves have no signs of infection.,Potato___healthy
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Small dark spots with concentric rings.,Tomato_Early_blight
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Irregular brown patches and decay.,Tomato__Target_Spot
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Small dark spots with concentric rings.,Tomato_Early_blight
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Wilting leaves, especially at night.",Tomato_Late_blight
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
Powdery white layer covering leaves.,Tomato_Leaf_Mold
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Irregular brown patches and decay.,Tomato__Target_Spot
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Small dark spots with concentric rings.,Tomato_Early_blight
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
"Wilting leaves, especially at night.",Tomato_Late_blight
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
Powdery white layer covering leaves.,Tomato_Leaf_Mold
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
"Wilting leaves, especially at night.",Tomato_Late_blight
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
Small dark spots with concentric rings.,Tomato_Early_blight
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Small dark spots with concentric rings.,Tomato_Early_blight
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
"Wilting leaves, especially at night.",Tomato_Late_blight
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Irregular brown patches and decay.,Tomato__Target_Spot
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Small dark spots with concentric rings.,Tomato_Early_blight
Irregular brown patches and decay.,Tomato__Target_Spot
Powdery white layer covering leaves.,Tomato_Leaf_Mold
Powdery white layer covering leaves.,Tomato_Leaf_Mold
Powdery white layer covering leaves.,Tomato_Leaf_Mold
"Soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
"Wilting leaves, especially at night.",Tomato_Late_blight
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Tiny insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Irregular brown patches and decay.,Tomato__Target_Spot
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
"Rough, scaly patches and raised bumps on pepper leaves.",Pepper__bell___Bacterial_spot
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
Powdery white layer covering leaves.,Tomato_Leaf_Mold
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
"Leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
