description,crop,status,disease,recommended_pesticide
Visual check indicates: notable Leaf edges remain intact and smooth.,Potato,Healthy,healthy,None
Farmer reports: severe Leaf edges turn brown and crack.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
sporadic New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray
Field observation shows: moderate Spots develop yellow halos as they expand. rapid Growth appears stunted with patchy foliage. sudden Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
"Farmer complains: notable Leaves turn bronze and curl under. clear Mites thrive in hot, dry conditions.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
According to the grower: severe New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray
Agronomist notes: severe No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
"Farmer complains: extensive Lesions enlarge during warm, humid weather. slight Dark spots sometimes appear on stems. sporadic Lower leaves drop prematurely under stress.",Potato,Unhealthy,Early_blight,Neem oil
sporadic Infected areas emit a musty odor. sporadic Edges of lesions look water-soaked. sudden White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil
Inspection reveals: sudden Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: rapid Stems remain firm and robust. slight Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,None
Field observation shows: sporadic Leaf edges appear scorched and curled. visible Plant vigor decreases over time. notable Dark concentric rings form on lower leaves.,Tomato,Unhealthy,Early_blight,Horticultural oil
Inspection reveals: visible Leaves are lush green with no visible spots. notable Plants show no signs of stress or pests. extensive Growth appears vigorous and steady.,Potato,Healthy,healthy,None
Farmer complains: rapid Lesions merge into large yellow areas. notable Disease thrives in high humidity and poor airflow.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
According to the grower: visible Small dark spots develop with concentric rings.,Potato,Unhealthy,Early_blight,Neem oil
Visual check indicates: sudden Stems remain firm and robust. moderate Overall growth is steady and balanced.,Tomato,Healthy,healthy,None
Farmer complains: moderate Growth appears patchy across the field. notable Yellow halos surround each small lesion.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
rapid Infestation begins on lower leaves.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: visible Stems show brown streaks near soil level. severe Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray
visible Leaves yellow around brown lesions. rapid Brown patches coalesce into larger necrotic areas.,Potato,Unhealthy,Early_blight,Neem oil
Farmer complains: slight Spots increase rapidly in wet conditions. slight Stems remain largely unaffected.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer reports: notable Overall growth appears stunted. sporadic Older leaves show symptoms first. visible Stems may show sunken brown streaks.,Tomato,Unhealthy,Early_blight,Horticultural oil
sudden Fruit development may be stunted. sudden Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer reports: severe Stems remain firm and robust. rapid Plant stands tall and vigorous.,Tomato,Healthy,healthy,None
Inspection reveals: visible No signs of wilting or discoloration. visible Plants show no signs of stress or pests.,Potato,Healthy,healthy,None
According to the grower: visible Young leaves curl upward and turn yellow. slight Leaves appear crumpled and thickened. extensive Leaf edges show bright yellow coloring.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: slight Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer reports: sporadic Internodes shorten dramatically. clear Fruit production decreases sharply. sudden Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer complains: moderate Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: rapid Foliage appears scorched and curled. sudden Brown patches coalesce into larger necrotic areas.,Potato,Unhealthy,Early_blight,Neem oil
Field observation shows: extensive Large brown blotches develop rapidly on leaves. visible Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: clear Fruit clusters are well-formed.,Tomato,Healthy,healthy,None
visible Spots are more prominent under humid conditions. slight Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: sporadic Fruits develop firm dark lesions with greasy texture. notable Infected areas emit a musty odor. severe Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
"Farmer complains: moderate Stems may show sunken brown streaks. rapid Spots expand during warm, humid weather. sudden Leaves drop prematurely under stress.",Tomato,Unhealthy,Early_blight,Horticultural oil
Field observation shows: visible Leaflets may become fern-like and narrow. moderate Flower formation may be reduced. moderate Virus spreads easily through plant contact.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
